text,source,doc_type
"FirstRand Bank Limited is an Authorised Financial Services and Credit Provider (NCRCP20). Reg. No. 1929/001225/06  
 
REMOTE BANKING AGREEMENT  
24 JUNE 2021 
 
 
 
 
This important document sets out the rights and duties between you and First National Bank 
(FNB) and Wesbank, divisions of FirstRand Bank Limited, with registration number 
1929/001225/06 (“the Bank”) in relation to the use of the Bank’s self -service interfaces which 
may be branded as interfaces from FNB, Wesbank and RMB Private Bank. This agreement 
applies to you if you use any of the following self service Banking interfaces: Online Banking, 
Cellphone Banking, .mobi, the Banking App . Read this document carefully. You must contact 
the Bank if you do not understand any part of this document. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
In this agreement, the following words will have the following meanings:",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"the Bank if you do not understand any part of this document. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
In this agreement, the following words will have the following meanings: 
 
The words, “you” or “your” means the account holder and their authorised user/s. An authorised user is any person/s the account holder 
appoints to use the self service interfaces on their behalf (e.g. to do transactions).  
 
The words “us,” “we” or “our” me ans the Bank. Before you can use the self - service interfaces which include Online Banking, Cellphone 
Banking, the Banking App and .mobi ( collectively called “self- service” interfaces) 
 
If you are younger than 18, you must get your parent’s or legal guardian’s consent to use the self service interfaces. 
When does this agreement start? 
This agreement starts as soon you do any of the following: 
• register to use any of the service interfaces; 
• get access to be able to use any of the service interfaces; 
• actually use any of the service interfaces;",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"• register to use any of the service interfaces; 
• get access to be able to use any of the service interfaces; 
• actually use any of the service interfaces; 
 
1. THIRD PARTY RELATIONSHIPS AND ADDITIONAL TERMS AND CONDITIONS 
(a) Other terms & conditions that also apply to you 
This agreement applies along with the other terms & conditions of the Bank that govern your accounts, our services and our 
relationship with you.  Certain of the products and services that we make available to you on the service interfaces, including 
those provided by third parties , may have their own terms & conditions.   These third party se rvices providers may include 
prepaid service providers;  Lottery service providers; Broadcaster and streaming services; Retail service providers; Technology 
and Smart device providers etc. if applicabl e. You must read this agreement together with all these  other relevant terms &",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"and Smart device providers etc. if applicabl e. You must read this agreement together with all these  other relevant terms & 
conditions if applicable. The Bank will not be liable for any delays in respect of third party providers.  Your use of the third party 
service means that you accept and will be subject to the terms and conditions associated with it.  If you do not accept th ose 
terms and conditions you are advised not to make use of the service. 
 
 
(b) Which agreement applies in instances of conflict  
If there is a conflict (difference) between this agreement and any other  product terms & conditions, the provisions of th is 
agreement will apply;  unless the conflict relates to the use of the third party products or services, in which case, their terms and 
conditions will apply. 
 
 
Remote Banking Terms and Conditions 
Date last amended: June 2021 
 
 
Revision History: June 2021 
 
• Amendment to introduction",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"conditions will apply. 
 
 
Remote Banking Terms and Conditions 
Date last amended: June 2021 
 
 
Revision History: June 2021 
 
• Amendment to introduction  
 Removal of If you are a Discovery Banking customer, this document sets out the rights and duties between you 
 and Discovery Holdings Limited with registration number 1999/007789/06 (Discovery) in relation to the use of the 
 Bank’s self -service interfaces subject to the services offered by FirstRand Bank on behalf of Discovery . Any 
 reference to the Bank must be read to include Discovery.",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"FirstRand Bank Limited is an Authorised Financial Services and Credit Provider (NCRCP20). Reg. No. 1929/001225/06  
 
REMOTE BANKING AGREEMENT  
24 JUNE 2021 
 
(c) We are not responsible for links to third party sites, its content or for the third party’s actions or omissions, or its 
goods or services 
For your convenience only, the service interfaces may allow you to view or access third p arty websites or content or purchase 
content, products or services provided by third parties.   Even though we may make third party websites, content or products or 
services available to you, we do not endorse or recommend the third party or its products or  services. You alone are 
responsible for deciding whether the third party or its products or services meet your requirements. Terms and conditions and  
rules may apply to those products and form an agreement between you and the third party.",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"rules may apply to those products and form an agreement between you and the third party.  
 
You alone are responsible for obtaining the terms and conditions or rules that apply to you and the products or services offered 
by the third party. The categories/ types of third parties whose products, services or offerings may be available from or 
associated to the s ervice interfaces may vary from time to time. They may include lotto service providers; coupon providers; 
voucher catalogue providers and other subscription providers. We have no control over such third parties or their products or  
services. We are not a p arty to any disputes between you and the third party. You alone are responsible for ensuring that any 
transactions you make on these third party sites are lawful. Some services are only available to persons who are 18 years old or 
older.",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"transactions you make on these third party sites are lawful. Some services are only available to persons who are 18 years old or 
older.  
 
We are not respo nsible to you for any loss or damage you suffer, whether directly or indirectly, because of a third party or its 
products or services or your use of the products or services. You alone take the risk of using or purchasing third party prod ucts 
or services. You hereby agree to indemnify us and hold us harmless for any loss or damage you may suffer, or cause, in this 
regard.  
 
 
2. ELECTRONIC VOUCHERS AND REDEMPTION OF DISCOUNT BENEFITS  
 
Certain third parties offer electronic discounts on certain products via their computer system from time to time for redemption 
against products purchased.  The Bank offe rs qualifying Bank customers the opportunity to receive these discounts when 
paying with their qualifying cheque, debit or credit cards.  The qualifying cards may change from time to time and you are",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"paying with their qualifying cheque, debit or credit cards.  The qualifying cards may change from time to time and you are 
encouraged to ensure that you check these terms and conditions periodically for upd ates.You are advised to read the se terms 
and conditions carefully.   
 
The Bank does not distribute nor endorse any products or servi ces to which the discounts apply.  Should you have any issues 
either with the service or product purchased you need to liaise with the relevant third party store at which the purchase was  
made.The Bank does not have any control over the products that the d iscounts are offered for and cannot be held liable for the 
unavailability of these products in any way.  Complaints regarding quality or quantity of the merchandise purchased must be 
directed to the third party concerned.  Whilst we make every endeavor to e nsure the accuracy of the discount offered, changes",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"directed to the third party concerned.  Whilst we make every endeavor to e nsure the accuracy of the discount offered, changes 
may be implemented from time to time.  The Bank does not accept any responsibility for any loss which may arise from 
accessing or reliance on the information from the a third party and to the fullest exte nt permitted by South African law, we 
exclude all liability for loss or damages direct or indirect arising from use of this service. 
The service is a value added service and no fees are charged for the redemption of the coupons. 
 
 
 
3. ACCESS TO THE INTERFACES  AND SECURITY  
(a) Steps you must take to protect yourself  
NOTE: Information that is sent over an unsecured link or communication system can be unlawfully monitored, intercepted, or 
accessed.  While we take all reasonable steps to prevent this from happening, you need to understand that this risk exists.",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"accessed.  While we take all reasonable steps to prevent this from happening, you need to understand that this risk exists. 
 
You play an important role in pro tecting yourself against fraud. For your safety you must follow the security 
tips/recommendations we give you on the service interfaces from time to time. You must also read the tips published at the 
Bank’s Security Centre on the Banking App and the online Banking Communications Page. You must (where applicable) log off 
from the service interface when you have finished transacting. The Bank recommends that you do not use public 
communication facilities such as internet café’s, but when you do, you must take special care . It is your responsibility to ensure 
that you have the necessary anti virus or anti-malware software on your device 
 
  
If you are a cellphone Banking or inContact customer and you notice anything suspicious you must also contact your service",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"If you are a cellphone Banking or inContact customer and you notice anything suspicious you must also contact your service 
provider/network operator to rep ort the sus picious activity e.g. SIM Swaps (a sudden loss of service can be an indication of a 
SIM SWAP). Please take note of the following contact details for SIM Swop  
- MTN             083 123 STOP (123 7867)                                                   - CellC                      084 140 
- Vodacom     082 135                  - Virgin Mobile        0741 000 123 
- FNB Connect Dial 147 from an FNB SIM or call 087 575 0147 from any other line 
 
(b) For your protection and security you must enter the correct access information to identify yourself whenever you log onto the 
service interfaces. Since we deal with each other in a non-face to face environment, for your security you will need to enter the",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
"service interfaces. Since we deal with each other in a non-face to face environment, for your security you will need to enter the 
correct access information or take any other steps acceptable to us for us to verify your identity and the electronic 
communications you send us using the service interfaces each time you logon to the service interfaces. This is known as",C:\Users\l\Documents\Banking-rag\data\agreements\Remote-Banking-Agreement.pdf,agreements
